Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-08-12,1.6511709171566535,1.085194362586243,1.2146643670509871,0.3829691825598762,2.7749110543624673,1.508374450842246,2.020243456437612,1.5031194738498437,2.176402090948749,3.8078552010466358,0.7707646374624676,1.2822931787730365,2.354185300850963,0.6053260453419508,1.1424956603089074,3.1032003312424066,1.7600510707087234,0.6216968778740761,1.547987744892733,5.454695216456934,0.690943743152923,0.5445021952273781,1.6802690027507379,1.0294880553327115,2.635024245997587
2021-08-13,1.4263905745447363,1.3495252910325246,1.2278276173320506,0.2977731226603472,2.7715969439064416,1.4250285016297832,2.009516562129094,1.7264687776234287,2.865455925140414,3.4644324070623935,0.6885405513660966,1.5809104371843565,3.5950534166273855,0.5037393130628793,1.0655122963126862,3.5326339734775565,1.4427070118512708,0.5397581210449256,2.051615235138677,5.21424832942508,0.8788756627844083,0.743605347461836,1.519348567239649,1.0254491309371334,2.2590176664357458
2021-08-16,1.3660265272163497,1.0986207636678806,1.4552332200442075,0.2535955738293748,1.9351327560028995,0.7986392300792833,1.1242520345407725,1.5300848075712974,2.967815360075974,2.956270679071983,0.7492547498829503,1.222871952736471,2.679154152916743,0.344593643915495,0.967092439958949,3.145534984835034,0.933232888635888,0.3046859777605762,1.7808491251264673,4.6580676700010795,0.7919904684084389,0.7719438369776952,1.5540047594373216,1.221826154681111,2.471714626661551
2021-08-17,1.678773715236074,1.3512992310140548,1.4903963359018082,0.17754581929299926,1.8448072594539664,0.8240155534384347,0.8713019213806792,1.008870087884383,1.4614290157840875,3.8422295431878513,1.1527567849649296,1.4577347370874456,2.113424026356132,0.4101853781449535,0.6117608472567955,3.8569757525995283,1.2223569126684717,0.3275316205990567,1.8781958025834644,5.557473132097133,1.2096239528952684,1.1038034201633988,2.006936327121723,1.1076627569616238,2.0847990817798854
2021-08-18,1.9160504243431462,1.7049954560673803,1.1592575906437972,0.1809713760495302,2.061937458931913,0.7375406239012958,1.133577958857183,1.0305816746525385,1.324864933478652,4.076389483636785,1.2647804296979366,1.227480662767407,1.6898403305095007,0.37083464347133094,0.6365829508897559,4.236914502049994,0.783348798770089,0.3443423355649431,1.8104914009134891,4.9984826535993765,1.2905832337268128,1.261469450866174,2.0903091678035683,1.2385707152117045,2.212822457050342
2021-08-19,1.5006617969182716,1.2194477220851743,0.8011162850379087,0.15785210236899308,0.8962761215268787,0.527575380138831,1.0510384442042742,0.6004414840745377,1.6113754267056528,2.6594282575509185,1.3425057096958828,0.6614603639178769,1.4184981771759122,0.3836543522012313,0.47864324619854753,2.3213024157464694,0.8660060585564988,0.38435703997999876,2.0360080039630697,3.264489737394904,0.8927339723659282,0.8750818872243353,1.2586514078175601,1.4745925375603373,1.3412890722308306
2021-08-20,2.1225441938646536,1.1717306692782796,1.0827288583613244,0.16251361260741723,0.9895121046589498,0.8657195646668399,1.0940014022992848,0.3861643001322392,0.9839753386031694,3.071330975358657,1.6441272796250967,0.5891214519119439,1.1315032609881577,0.34398088241658276,0.3091042794896872,2.6761270172724063,0.8452879927956972,0.21672705710822263,2.2451829994807033,3.7021233399919655,1.500554683221849,0.9106103526612503,1.6856452719218076,1.5832902916618685,1.0766821821160943
2021-08-23,3.5437366675208235,1.356793807599125,1.6627380790571709,0.4089088801086668,1.6141356051709024,1.1696058962415998,2.0920392692329655,0.40961459853451787,0.9503596064923973,3.68443284871312,1.7089274318490983,0.6043211618237063,1.3194334278163116,0.36259768460903796,0.3633435377751957,2.892796903404596,1.0601927761156142,0.21854746302588743,1.6425972809203173,3.7010005972042403,1.600810487096945,1.3970510806947631,2.0940403162109162,2.0429576701864534,0.9555782036879396
2021-08-24,3.623535077466745,1.65911275762188,2.0659838139870788,0.7058970096689247,2.1628518288159606,1.7560530387375044,2.7152130023238463,0.6219461902505289,0.9924301404689794,2.628392307247215,1.3483612210404876,0.9219175773512636,1.6253516246544237,0.6712627462703398,0.6667957491533244,1.9624620161597768,1.039542891646032,0.5130916063264603,1.5158778706967908,2.884267499441931,1.8405405170869271,1.7001700300788967,2.8336047245627736,2.5496079501843134,1.0445537366257722
2021-08-25,2.636144450749787,1.3558990385631353,1.897448405830312,0.7332029319760387,2.252838459340626,1.9862362304864951,3.040387969990903,0.6374202564113214,1.0150575020065025,1.3889086946135525,1.0632388016529735,0.8033958816405421,1.5376709045088182,0.8056280210330506,0.6477437036301223,1.1374268918887835,0.7815567863825936,0.7315923244654429,0.8807925461790992,1.9958998825536602,1.4088840794580015,1.6128939075520317,2.727238470001165,2.3760885899319497,0.803279209233546
